id,title,description,image,video,link,category,created_at,updated_at
1,Plataforma multimedia,"Creación de portal multimedia para desarrollo profesional integral.",/port_pag_mac.png,,/empleos/1,Desarrollo Web,2024-06-29T15:30:00Z,2024-06-29T15:30:00Z
14,Línea línea de productos,"Línea integral de productos para una buena comunicación de marca.",/linea_tuca_toco.jpg,,/empleos/14,Comunicación Digital,2024-06-29T15:30:00Z,2024-06-29T15:30:00Z
2,Carrusel multimedia,"Diseño de carrusel multimedia para exposición de fotos, videos, publicaciones integradas, etc.",/pantalla_carrusel_mac.png,,/empleos/2,Desarrollo Web,2024-06-29T15:30:00Z,2024-06-29T15:30:00Z
23,Diseño de página web,"Diseño de página web para biblioteca on line y todo tipo de documentación.",/port_pag_libros.png,,/empleos/23,Desarrollo Web,2024-06-29T15:30:00Z,2024-06-29T15:30:00Z
24,Desarrollo java,"Desarrollo aplicación para negocio de concesionaria de autos.",/java_consecionaria.png,,/empleos/24,Desarrollo Web,2024-06-29T15:30:00Z,2024-06-29T15:30:00Z
25,Proyecto Sustentable,"Diseño de lineamientos institucionales. Articulación con el proyecto de juguetes de Tuca Toco.",/proyecto_Tuca_Toco.png,,/empleos/25,Comunicación Digital,2024-06-29T15:30:00Z,2024-06-29T15:30:00Z
3,Campaña de Lanzamiento,"Estrategia integral para el lanzamiento de nuevos productos en mercados regionales en una primera etapa.",/lanzam_t_t.png,,/empleos/3,Comunicación Digital,2024-06-29T15:30:00Z,2024-06-29T15:30:00Z
4,Gestión de Crisis,"Manejo adecuado de comunicación durante crisis corporativa con impacto en redes sociales y medios tradicionales.",/gestion_crisis.png,,/empleos/4,Comunicación Digital,2024-06-29T15:30:00Z,2024-06-29T15:30:00Z
7,Estrategia SEO/SEM,"Desarrollo e implementación de estrategia para mejorar posicionamiento en buscadores y aumentar tráfico.",,/creatividad.mp4,/empleos/7,Marketing Digital,2024-06-29T15:30:00Z,2024-06-29T15:30:00Z
8,Brief publicitario,"Gestión de campaña multicanal en redes sociales para incrementar engagement y conversiones.",/brief_public_tt.png,,/empleos/8,Marketing Digital,2024-06-29T15:30:00Z,2024-06-29T15:30:00Z
17,Buyer persona,"Representación del cliente ideal, construida a partir de datos reales sobre clientes actuales y potenciales.",/buyer_persona.png,,/empleos/17,Marketing Digital,2024-06-29T15:30:00Z,2024-06-29T15:30:00Z
18,Análisis de métricas,"Recopilar, interpretar y evaluar datos cuantitativos para entender el rendimiento de campañas.",/analisis_metricas.jpg,,/empleos/18,Marketing Digital,2024-06-29T15:30:00Z,2024-06-29T15:30:00Z
9,Video Marca Personal,"Producción audiovisual para marca personal, identidad y conexión con su audiencia.",,/higher_calling.mp4,/empleos/9,Producción Audiovisual,2024-06-29T15:30:00Z,2024-06-29T15:30:00Z
10,Campañas de posicionamiento,"Vuelos Épicos, el flagelo de la migración social. Redes sociales:  Elemento diferenciador. Aporte de valor social. Marca personal.",,/gaviota2.mp4,/empleos/10,Producción Audiovisual,2024-06-29T15:30:00Z,2024-06-29T15:30:00Z
19,Campañas de posicionamiento,"Mechas, la peluquería de las amas de casa. Redes sociales:  Elemento diferenciador. Aporte de valor social. Marca personal.",,/mechas.mp4,/empleos/19,Producción Audiovisual,2024-06-29T15:30:00Z,2024-06-29T15:30:00Z
20,Campañas de posicionamiento,"Wanted, el otro lado de la maternidad. Redes sociales:  Elemento diferenciador. Aporte de valor social. Marca personal.",,/wanted.mp4,/empleos/20,Producción Audiovisual,2024-06-29T15:30:00Z,2024-06-29T15:30:00Z
11,Conferencia Tecnológica,"Organización de conferencia sobre tendencias tecnológicas con ponentes internacionales.",/placeholder.svg?height=400&width=600,,/empleos/11,Otros,2024-06-29T15:30:00Z,2024-06-29T15:30:00Z
12,Webinar Series,"Coordinación de serie de webinars sobre transformación digital para ejecutivos de nivel C.",/placeholder.svg?height=400&width=600,,/empleos/12,Otros,2024-06-29T15:30:00Z,2024-06-29T15:30:00Z
21,Proyecto pendiente,"Descripción pendiente.",/placeholder.svg?height=400&width=600,,/empleos/21,Otros,2024-06-29T15:30:00Z,2024-06-29T15:30:00Z
22,Proyecto pendiente,"Descripción pendiente.",/placeholder.svg?height=400&width=600,,/empleos/22,Otros,2024-06-29T15:30:00Z,2024-06-29T15:30:00Z 